,W eco,W soc,K,Recovery rate,Delay for societal,Divorce
92,0.0,0.0,-3.2,0.4,4.5,121.92657196206696
93,0.0,0.0,-3.2,0.4,5.5,121.92602527389595
94,0.0,0.0,-3.2,0.4,6.5,121.9345629068492
95,0.0,0.0,-3.2,0.4,7.5,121.92777064960013
96,0.0,0.0,-3.2,0.4,8.5,121.87875067259225
97,0.0,0.0,-3.2,0.4,9.5,121.77373205626462
98,0.0,0.0,-3.2,0.4,10.5,121.61177840588154
99,0.0,0.0,-3.2,0.6000000000000001,0.5,128.34134810980967
100,0.0,0.0,-3.2,0.6000000000000001,1.5,128.3346802578996
101,0.0,0.0,-3.2,0.6000000000000001,2.5,128.35005740102366
102,0.0,0.0,-3.2,0.6000000000000001,3.5,128.32985034719616
103,0.0,0.0,-3.2,0.6000000000000001,4.5,128.28596195005264
104,0.0,0.0,-3.2,0.6000000000000001,5.5,128.21195220032388
105,0.0,0.0,-3.2,0.6000000000000001,6.5,128.13134120948874
106,0.0,0.0,-3.2,0.6000000000000001,7.5,128.06379112997325
107,0.0,0.0,-3.2,0.6000000000000001,8.5,128.0028653805269
108,0.0,0.0,-3.2,0.6000000000000001,9.5,127.93274904489044
109,0.0,0.0,-3.2,0.6000000000000001,10.5,127.84169952131438
110,0.0,0.0,-3.2,0.8,0.5,130.18954134368474
111,0.0,0.0,-3.2,0.8,1.5,130.16673562762512
112,0.0,0.0,-3.2,0.8,2.5,130.2529523866948
113,0.0,0.0,-3.2,0.8,3.5,130.34792482406198
114,0.0,0.0,-3.2,0.8,4.5,130.4423848741031
115,0.0,0.0,-3.2,0.8,5.5,130.49411321394015
116,0.0,0.0,-3.2,0.8,6.5,130.48304412685928
117,0.0,0.0,-3.2,0.8,7.5,130.44014948194933
118,0.0,0.0,-3.2,0.8,8.5,130.3914185348451
119,0.0,0.0,-3.2,0.8,9.5,130.34379755846837
120,0.0,0.0,-3.2,0.8,10.5,130.29476163308482
121,0.0,0.0,-3.2,1.0,0.5,131.12229485367075
122,0.0,0.0,-3.2,1.0,1.5,131.06606175021244
123,0.0,0.0,-3.2,1.0,2.5,130.99720888557442
124,0.0,0.0,-3.2,1.0,3.5,130.9920043709414
125,0.0,0.0,-3.2,1.0,4.5,131.05965658715962
126,0.0,0.0,-3.2,1.0,5.5,131.1849540250586
127,0.0,0.0,-3.2,1.0,6.5,131.28798959924077
128,0.0,0.0,-3.2,1.0,7.5,131.34778422697408
129,0.0,0.0,-3.2,1.0,8.5,131.38043975758586
130,0.0,0.0,-3.2,1.0,9.5,131.4016727644544
131,0.0,0.0,-3.2,1.0,10.5,131.41887492964946
132,0.0,0.0,-2.4000000000000004,0.0,0.5,0.10900258879729018
133,0.0,0.0,-2.4000000000000004,0.0,1.5,0.12274703401422114
134,0.0,0.0,-2.4000000000000004,0.0,2.5,0.1378988613618488
135,0.0,0.0,-2.4000000000000004,0.0,3.5,0.15467365189944887
136,0.0,0.0,-2.4000000000000004,0.0,4.5,0.17325137577576544
137,0.0,0.0,-2.4000000000000004,0.0,5.5,0.19377148955186144
138,0.0,0.0,-2.4000000000000004,0.0,6.5,0.21629549993850306
139,0.0,0.0,-2.4000000000000004,0.0,7.5,0.24076510594264605
140,0.0,0.0,-2.4000000000000004,0.0,8.5,0.2669832931258952
141,0.0,0.0,-2.4000000000000004,0.0,9.5,0.2946298633149575
142,0.0,0.0,-2.4000000000000004,0.0,10.5,0.3233004132706317
143,0.0,0.0,-2.4000000000000004,0.2,0.5,95.09216674231496
144,0.0,0.0,-2.4000000000000004,0.2,1.5,95.12260934121177
145,0.0,0.0,-2.4000000000000004,0.2,2.5,95.14333396989255
146,0.0,0.0,-2.4000000000000004,0.2,3.5,95.15571091625601
147,0.0,0.0,-2.4000000000000004,0.2,4.5,95.16311287829807
148,0.0,0.0,-2.4000000000000004,0.2,5.5,95.16130822797365
149,0.0,0.0,-2.4000000000000004,0.2,6.5,95.13597757226643
150,0.0,0.0,-2.4000000000000004,0.2,7.5,95.07456836232498
151,0.0,0.0,-2.4000000000000004,0.2,8.5,94.97422442644552
152,0.0,0.0,-2.4000000000000004,0.2,9.5,94.83882704014904
153,0.0,0.0,-2.4000000000000004,0.2,10.5,94.67388944420811
154,0.0,0.0,-2.4000000000000004,0.4,0.5,116.31590079001556
155,0.0,0.0,-2.4000000000000004,0.4,1.5,116.28816155020999
156,0.0,0.0,-2.4000000000000004,0.4,2.5,116.26511866786083
157,0.0,0.0,-2.4000000000000004,0.4,3.5,116.24136969481354
158,0.0,0.0,-2.4000000000000004,0.4,4.5,116.22795434853776
159,0.0,0.0,-2.4000000000000004,0.4,5.5,116.23686183729765
160,0.0,0.0,-2.4000000000000004,0.4,6.5,116.26515467936497
161,0.0,0.0,-2.4000000000000004,0.4,7.5,116.28760197406129
162,0.0,0.0,-2.4000000000000004,0.4,8.5,116.27853161151957
163,0.0,0.0,-2.4000000000000004,0.4,9.5,116.22521022528092
164,0.0,0.0,-2.4000000000000004,0.4,10.5,116.12622673766234
165,0.0,0.0,-2.4000000000000004,0.6000000000000001,0.5,122.67799313117851
166,0.0,0.0,-2.4000000000000004,0.6000000000000001,1.5,122.66054213450063
167,0.0,0.0,-2.4000000000000004,0.6000000000000001,2.5,122.6685375880846
168,0.0,0.0,-2.4000000000000004,0.6000000000000001,3.5,122.65029883065014
169,0.0,0.0,-2.4000000000000004,0.6000000000000001,4.5,122.59892423335724
170,0.0,0.0,-2.4000000000000004,0.6000000000000001,5.5,122.52386601589522
171,0.0,0.0,-2.4000000000000004,0.6000000000000001,6.5,122.45883689936556
172,0.0,0.0,-2.4000000000000004,0.6000000000000001,7.5,122.41923684305316
173,0.0,0.0,-2.4000000000000004,0.6000000000000001,8.5,122.39483531698956
174,0.0,0.0,-2.4000000000000004,0.6000000000000001,9.5,122.36904593862107
175,0.0,0.0,-2.4000000000000004,0.6000000000000001,10.5,122.33000077715833
176,0.0,0.0,-2.4000000000000004,0.8,0.5,125.10065134614933
177,0.0,0.0,-2.4000000000000004,0.8,1.5,125.12532963508946
178,0.0,0.0,-2.4000000000000004,0.8,2.5,125.19369148291798
179,0.0,0.0,-2.4000000000000004,0.8,3.5,125.28724100178366
180,0.0,0.0,-2.4000000000000004,0.8,4.5,125.37141621309264
181,0.0,0.0,-2.4000000000000004,0.8,5.5,125.40124864819269
182,0.0,0.0,-2.4000000000000004,0.8,6.5,125.38011733689649
183,0.0,0.0,-2.4000000000000004,0.8,7.5,125.34312000529782
184,0.0,0.0,-2.4000000000000004,0.8,8.5,125.311086651986
185,0.0,0.0,-2.4000000000000004,0.8,9.5,125.28717060488087
186,0.0,0.0,-2.4000000000000004,0.8,10.5,125.26721477790112
